Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
"$1,299",WA,CA,2015 Nissan,Leaf S,"$7,998",50K,Renton
$99,CA,CA,2017 Nissan,Leaf S,"$8,599",38K,Pleasanton
Free,CA,CA,2016 Nissan,Leaf S,"$8,599",52K,Kearny Mesa
$99,NV,CA,2015 Nissan,Leaf SV,"$8,599",36K,Reno
$99,NV,CA,2015 Smart,Fortwo Pure,"$8,599",54K,Henderson
$99,CA,CA,2015 Chevrolet,Spark EV LT,"$8,998",42K,Sacramento/Roseville
$99,CA,CA,2015 Fiat,500 Sport,"$8,998",66K,Sacramento South
N/A,N/A,N/A,2015 Mitsubishi,Mirage DE,"$8,998",61K,Potomac Mills
Coming Soon,N/A,N/A,2015 Mitsubishi,Mirage ES,"$8,998",38K,Orlando
$99,NV,CA,2017 Mitsubishi,Mirage ES,"$8,998",65K,Henderson
$99,NV,CA,2017 Nissan,Leaf S,"$8,998",56K,West Sahara
Free,CA,CA,2017 Nissan,Leaf S,"$8,998",57K,Irvine
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",32K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,"$8,998",56K,Pleasant Hill
$99,CA,CA,2015 Nissan,Leaf S,"$8,998",40K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,"$8,998",41K,Sacramento South
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",37K,Pleasant Hill
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",36K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf S,"$8,998",34K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",28K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",39K,Capitol Expressway
$99,AZ,CA,2017 Nissan,Leaf S,"$8,998",49K,Phoenix-West Valley
$99,CA,CA,2016 Nissan,Leaf S,"$8,998",33K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf SV,"$8,998",51K,Sacramento/Roseville
"$1,299",WA,CA,2015 Nissan,Leaf S,"$7,998",50K,Renton
$99,CA,CA,2017 Nissan,Leaf S,"$8,599",38K,Pleasanton
Free,CA,CA,2016 Nissan,Leaf S,"$8,599",52K,Kearny Mesa
$99,NV,CA,2015 Nissan,Leaf SV,"$8,599",36K,Reno
$99,NV,CA,2015 Smart,Fortwo Pure,"$8,599",54K,Henderson
$99,CA,CA,2015 Chevrolet,Spark EV LT,"$8,998",42K,Sacramento/Roseville
$99,CA,CA,2015 Fiat,500 Sport,"$8,998",66K,Sacramento South
N/A,N/A,N/A,2015 Mitsubishi,Mirage DE,"$8,998",61K,Potomac Mills
Coming Soon,N/A,N/A,2015 Mitsubishi,Mirage ES,"$8,998",38K,Orlando
$99,NV,CA,2017 Mitsubishi,Mirage ES,"$8,998",65K,Henderson
$99,NV,CA,2017 Nissan,Leaf S,"$8,998",56K,West Sahara
Free,CA,CA,2017 Nissan,Leaf S,"$8,998",57K,Irvine
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",32K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,"$8,998",56K,Pleasant Hill
$99,CA,CA,2015 Nissan,Leaf S,"$8,998",40K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,"$8,998",41K,Sacramento South
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",37K,Pleasant Hill
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",36K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf S,"$8,998",34K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",28K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,"$8,998",39K,Capitol Expressway
$99,AZ,CA,2017 Nissan,Leaf S,"$8,998",49K,Phoenix-West Valley
$99,CA,CA,2016 Nissan,Leaf S,"$8,998",33K,Santa Rosa
