Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
$1299,WA,CA,2015 Nissan,Leaf S,$7998,50K,Renton
$99,CA,CA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
Free,CA,CA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$99,NV,CA,2015 Nissan,Leaf SV,$8599,36K,Reno
$99,NV,CA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$99,CA,CA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$99,CA,CA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$99,NV,CA,2017 Mitsubishi,Mirage ES,$8998,65K,Henderson
$99,NV,CA,2017 Nissan,Leaf S,$8998,56K,West Sahara
Free,CA,CA,2017 Nissan,Leaf S,$8998,57K,Irvine
$99,CA,CA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$99,CA,CA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$99,CA,CA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$99,CA,CA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf S,$8998,34K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$99,AZ,CA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$99,CA,CA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$1299,WA,CA,2015 Nissan,Leaf S,$7998,50K,Renton
$99,CA,CA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
Free,CA,CA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$99,NV,CA,2015 Nissan,Leaf SV,$8599,36K,Reno
$99,NV,CA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$99,CA,CA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$99,CA,CA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$99,NV,CA,2017 Mitsubishi,Mirage ES,$8998,65K,Henderson
$99,NV,CA,2017 Nissan,Leaf S,$8998,56K,West Sahara
Free,CA,CA,2017 Nissan,Leaf S,$8998,57K,Irvine
$99,CA,CA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$99,CA,CA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$99,CA,CA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$99,CA,CA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$99,CA,CA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf S,$8998,34K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$99,CA,CA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$99,AZ,CA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$99,CA,CA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$99,CA,CA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
Free,CA,CA,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$99,NV,CA,2015 Nissan,Leaf SV,$8998,44K,Reno
$99,CA,CA,2015 Nissan,Leaf SV,$8998,56K,Serramonte
Free,CA,CA,2015 Nissan,Versa S,$8998,72K,Torrance
Shipping not available,N/A,N/A,2015 Nissan,Versa Note S,$8998,56K,Murrieta
$599,TX,CA,2015 Smart,Fortwo Passion,$8998,24K,Lubbock
$999,TX,CA,2015 Smart,Fortwo Pure,$8998,38K,San Antonio
Shipping not available,N/A,N/A,2015 Smart,Fortwo Pure,$9499,25K,White Marsh
$1299,WA,CA,2015 Chevrolet,Spark LS,$9599,48K,Puyallup
Free,CA,CA,2016 Chevrolet,Spark LS,$9599,47K,Escondido
$99,NV,CA,2015 Chevrolet,Spark EV LT,$9599,20K,West Sahara
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$9599,53K,Jacksonville West
$1499,MO,CA,2017 Mitsubishi,Mirage G4 ES,$9599,32K,Independence
$499,OR,CA,2015 Nissan,Leaf S,$9599,58K,Beaverton
$99,CA,CA,2016 Nissan,Leaf S,$9599,29K,Fairfield
$99,NV,CA,2016 Nissan,Leaf S,$9599,30K,Reno
$99,CA,CA,2015 Nissan,Leaf S,$9599,45K,Pleasanton
Free,CA,CA,2015 Nissan,Leaf S,$9599,31K,Kearny Mesa
$99,CA,CA,2017 Nissan,Leaf S,$9599,25K,Sacramento/Roseville
$99,CA,CA,2017 Nissan,Leaf S,$9599,37K,Serramonte
$99,NV,CA,2017 Nissan,Leaf S,$9599,34K,Reno
$1999,FL,CA,2015 Nissan,Leaf S,$9599,51K,Sample Rd (Pompano Beach)
