Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
$1799,WA,IL,2015 Nissan,Leaf S,$7998,50K,Renton
$1799,CA,IL,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$1799,CA,IL,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$1499,NV,IL,2015 Nissan,Leaf SV,$8599,36K,Reno
$1299,NV,IL,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$1799,CA,IL,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$1799,CA,IL,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$1299,NV,IL,2017 Mitsubishi,Mirage ES,$8998,65K,Henderson
$1299,NV,IL,2017 Nissan,Leaf S,$8998,56K,West Sahara
$1799,CA,IL,2017 Nissan,Leaf S,$8998,57K,Irvine
$1799,CA,IL,2017 Nissan,Leaf S,$8998,32K,Fairfield
$1799,CA,IL,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$1799,CA,IL,2015 Nissan,Leaf S,$8998,40K,Fairfield
$1799,CA,IL,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$1799,CA,IL,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$1799,CA,IL,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$1799,CA,IL,2016 Nissan,Leaf S,$8998,34K,Santa Rosa
$1799,CA,IL,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$1799,CA,IL,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1299,AZ,IL,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$1799,CA,IL,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$1799,CA,IL,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$1799,WA,IL,2015 Nissan,Leaf S,$7998,50K,Renton
$1799,CA,IL,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$1799,CA,IL,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$1499,NV,IL,2015 Nissan,Leaf SV,$8599,36K,Reno
$1299,NV,IL,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$1799,CA,IL,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$1799,CA,IL,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$1299,NV,IL,2017 Mitsubishi,Mirage ES,$8998,65K,Henderson
$1299,NV,IL,2017 Nissan,Leaf S,$8998,56K,West Sahara
$1799,CA,IL,2017 Nissan,Leaf S,$8998,57K,Irvine
$1799,CA,IL,2017 Nissan,Leaf S,$8998,32K,Fairfield
$1799,CA,IL,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$1799,CA,IL,2015 Nissan,Leaf S,$8998,40K,Fairfield
$1799,CA,IL,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$1799,CA,IL,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$1799,CA,IL,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$1799,CA,IL,2016 Nissan,Leaf S,$8998,34K,Santa Rosa
$1799,CA,IL,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$1799,CA,IL,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1299,AZ,IL,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$1799,CA,IL,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$1799,CA,IL,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$1799,CA,IL,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$1499,NV,IL,2015 Nissan,Leaf SV,$8998,44K,Reno
$1799,CA,IL,2015 Nissan,Leaf SV,$8998,56K,Serramonte
$1799,CA,IL,2015 Nissan,Versa S,$8998,72K,Torrance
Shipping not available,N/A,N/A,2015 Nissan,Versa Note S,$8998,56K,Murrieta
$549,TX,IL,2015 Smart,Fortwo Passion,$8998,24K,Lubbock
$699,TX,IL,2015 Smart,Fortwo Pure,$8998,38K,San Antonio
Shipping not available,N/A,N/A,2015 Smart,Fortwo Pure,$9499,25K,White Marsh
$1799,WA,IL,2015 Chevrolet,Spark LS,$9599,48K,Puyallup
$1799,CA,IL,2016 Chevrolet,Spark LS,$9599,47K,Escondido
$1299,NV,IL,2015 Chevrolet,Spark EV LT,$9599,20K,West Sahara
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$9599,53K,Jacksonville West
$99,MO,IL,2017 Mitsubishi,Mirage G4 ES,$9599,32K,Independence
$1799,OR,IL,2015 Nissan,Leaf S,$9599,58K,Beaverton
$1799,CA,IL,2016 Nissan,Leaf S,$9599,29K,Fairfield
$1499,NV,IL,2016 Nissan,Leaf S,$9599,30K,Reno
$1799,CA,IL,2015 Nissan,Leaf S,$9599,45K,Pleasanton
$1799,CA,IL,2015 Nissan,Leaf S,$9599,31K,Kearny Mesa
$1799,CA,IL,2017 Nissan,Leaf S,$9599,25K,Sacramento/Roseville
$1799,CA,IL,2017 Nissan,Leaf S,$9599,37K,Serramonte
$1499,NV,IL,2017 Nissan,Leaf S,$9599,34K,Reno
$999,FL,IL,2015 Nissan,Leaf S,$9599,51K,Sample Rd (Pompano Beach)
