Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
$1999,WA,PA,2015 Nissan,Leaf S,$7998,50K,Renton
$1999,CA,PA,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$1999,CA,PA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$1999,CA,PA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$1999,NV,PA,2015 Nissan,Leaf SV,$8599,36K,Reno
$1999,NV,PA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$1999,CA,PA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$1999,CA,PA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$1999,NV,PA,2017 Nissan,Leaf S,$8998,56K,West Sahara
$1999,CA,PA,2017 Nissan,Leaf S,$8998,57K,Irvine
$1999,CA,PA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$1999,CA,PA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$1999,CA,PA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$1999,CA,PA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$1999,CA,PA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$1999,CA,PA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$1999,CA,PA,2016 Nissan,Leaf S,$8998,34K,Santa Rosa
$1999,CA,PA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$1999,CA,PA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1999,AZ,PA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$1999,CA,PA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$1999,CA,PA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$1999,WA,PA,2015 Nissan,Leaf S,$7998,50K,Renton
$1999,CA,PA,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$1999,CA,PA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$1999,CA,PA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$1999,NV,PA,2015 Nissan,Leaf SV,$8599,36K,Reno
$1999,NV,PA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$1999,CA,PA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$1999,CA,PA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$1999,NV,PA,2017 Nissan,Leaf S,$8998,56K,West Sahara
$1999,CA,PA,2017 Nissan,Leaf S,$8998,57K,Irvine
$1999,CA,PA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$1999,CA,PA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$1999,CA,PA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$1999,CA,PA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$1999,CA,PA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$1999,CA,PA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$1999,CA,PA,2016 Nissan,Leaf S,$8998,34K,Santa Rosa
$1999,CA,PA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$1999,CA,PA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1999,AZ,PA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$1999,CA,PA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$1999,CA,PA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$1999,CA,PA,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$1999,NV,PA,2015 Nissan,Leaf SV,$8998,44K,Reno
$1999,CA,PA,2015 Nissan,Leaf SV,$8998,56K,Serramonte
$1999,CA,PA,2015 Nissan,Versa S,$8998,72K,Torrance
Shipping not available,N/A,N/A,2015 Nissan,Versa Note S,$8998,56K,Murrieta
$749,TX,PA,2015 Smart,Fortwo Passion,$8998,24K,Lubbock
$1499,TX,PA,2015 Smart,Fortwo Pure,$8998,38K,San Antonio
Shipping not available,N/A,N/A,2015 Smart,Fortwo Pure,$9499,25K,White Marsh
$1999,WA,PA,2015 Chevrolet,Spark LS,$9599,48K,Puyallup
$1999,CA,PA,2016 Chevrolet,Spark LS,$9599,47K,Escondido
$1999,NV,PA,2015 Chevrolet,Spark EV LT,$9599,20K,West Sahara
$899,MO,PA,2017 Mitsubishi,Mirage G4 ES,$9599,32K,Independence
$1999,OR,PA,2015 Nissan,Leaf S,$9599,58K,Beaverton
$1999,CA,PA,2016 Nissan,Leaf S,$9599,29K,Fairfield
$1999,NV,PA,2016 Nissan,Leaf S,$9599,30K,Reno
$1999,CA,PA,2015 Nissan,Leaf S,$9599,45K,Pleasanton
$1999,CA,PA,2015 Nissan,Leaf S,$9599,31K,Kearny Mesa
$1999,CA,PA,2017 Nissan,Leaf S,$9599,25K,Sacramento/Roseville
$1999,CA,PA,2017 Nissan,Leaf S,$9599,37K,Serramonte
$1999,NV,PA,2017 Nissan,Leaf S,$9599,34K,Reno
$99,NC,PA,2015 Nissan,Leaf S,$9599,57K,Greenville NC
$599,FL,PA,2015 Nissan,Leaf S,$9599,51K,Sample Rd (Pompano Beach)
$1999,CA,PA,2017 Nissan,Leaf S,$9599,34K,Capitol Expressway
$1999,CA,PA,2017 Nissan,Leaf S,$9599,44K,Capitol Expressway
$1999,CA,PA,2016 Nissan,Leaf S,$9599,16K,Fairfield
