Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
$1799,WA,TX,2015 Nissan,Leaf S,$7998,50K,Renton
$1299,CA,TX,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$1299,CA,TX,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$999,CA,TX,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$1499,NV,TX,2015 Nissan,Leaf SV,$8599,36K,Reno
$799,NV,TX,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$1299,CA,TX,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$1299,CA,TX,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$999,CA,TX,2017 Nissan,Leaf S,$8998,57K,Irvine
$1299,CA,TX,2017 Nissan,Leaf S,$8998,32K,Fairfield
$1299,CA,TX,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$1299,CA,TX,2015 Nissan,Leaf S,$8998,40K,Fairfield
$1299,CA,TX,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$1299,CA,TX,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$1299,CA,TX,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$1299,CA,TX,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$1299,CA,TX,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$499,AZ,TX,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$1299,CA,TX,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$1299,CA,TX,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$999,CA,TX,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$1499,NV,TX,2015 Nissan,Leaf SV,$8998,44K,Reno
$1799,WA,TX,2015 Nissan,Leaf S,$7998,50K,Renton
$1299,CA,TX,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
