Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
Free,WA,WA,2015 Nissan,Leaf S,$7998,50K,Renton
$299,CA,WA,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$799,CA,WA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$99,NV,WA,2015 Nissan,Leaf SV,$8599,36K,Reno
$599,NV,WA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$299,CA,WA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$299,CA,WA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$599,CA,WA,2017 Nissan,Leaf S,$8998,57K,Irvine
$299,CA,WA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$299,CA,WA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$299,CA,WA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$299,CA,WA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1299,AZ,WA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$299,CA,WA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$299,CA,WA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$599,CA,WA,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$99,NV,WA,2015 Nissan,Leaf SV,$8998,44K,Reno
Free,WA,WA,2015 Nissan,Leaf S,$7998,50K,Renton
$299,CA,WA,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$799,CA,WA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$99,NV,WA,2015 Nissan,Leaf SV,$8599,36K,Reno
$599,NV,WA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$299,CA,WA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$299,CA,WA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$599,CA,WA,2017 Nissan,Leaf S,$8998,57K,Irvine
$299,CA,WA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$299,CA,WA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$299,CA,WA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$299,CA,WA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1299,AZ,WA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$299,CA,WA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$299,CA,WA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$599,CA,WA,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$99,NV,WA,2015 Nissan,Leaf SV,$8998,44K,Reno
$299,CA,WA,2015 Nissan,Leaf SV,$8998,56K,Serramonte
Shipping not available,N/A,N/A,2015 Nissan,Versa Note S,$8998,56K,Murrieta
$999,TX,WA,2015 Smart,Fortwo Passion,$8998,24K,Lubbock
$1799,TX,WA,2015 Smart,Fortwo Pure,$8998,38K,San Antonio
Shipping not available,N/A,N/A,2015 Smart,Fortwo Pure,$9499,25K,White Marsh
Free,WA,WA,2015 Chevrolet,Spark LS,$9599,48K,Puyallup
$799,CA,WA,2016 Chevrolet,Spark LS,$9599,47K,Escondido
$599,NV,WA,2015 Chevrolet,Spark EV LT,$9599,20K,West Sahara
$1499,MO,WA,2017 Mitsubishi,Mirage G4 ES,$9599,32K,Independence
Free,OR,WA,2015 Nissan,Leaf S,$9599,58K,Beaverton
$299,CA,WA,2016 Nissan,Leaf S,$9599,29K,Fairfield
$99,NV,WA,2016 Nissan,Leaf S,$9599,30K,Reno
$299,CA,WA,2015 Nissan,Leaf S,$9599,45K,Pleasanton
$799,CA,WA,2015 Nissan,Leaf S,$9599,31K,Kearny Mesa
$299,CA,WA,2017 Nissan,Leaf S,$9599,25K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$9599,37K,Serramonte
$99,NV,WA,2017 Nissan,Leaf S,$9599,34K,Reno
